BN	TN	SN	seqNum	exeType	prepTime	exeTime	iti	hand	cuePress	cueMask	press1	press2	press3	press4	press5	press6	RT	ET	MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	
2	9	15	2	0	6000	2500	16000	2	333333	******	3	3	3	3	3	3	334.000	0.000	334.000	1	1	-1	0	0	0	0	0	0	6334.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	84000	84083	24506	85	53	1	0	
2	10	15	4	1	4000	2500	4000	2	135315	******	1	3	5	3	1	5	428.000	1382.000	1810.000	0	0	2	1	3	5	3	1	5	4428.000	4704.000	4964.000	5360.000	5514.000	5706.000	0.000	0.000	108500	108594	10506	109	553	1	0	
2	11	15	5	1	4000	2500	2000	2	351531	******	3	5	1	5	3	1	568.000	1432.000	2000.000	0	0	2	3	5	1	5	3	1	4568.000	4852.000	5104.000	5442.000	5600.000	5874.000	0.000	0.000	119000	119104	8506	120	62	1	0	
2	12	15	6	1	4000	2500	1000	2	513153	******	5	1	3	1	5	3	436.000	1220.000	1656.000	0	0	2	5	1	3	1	5	3	4436.000	4710.000	4936.000	5206.000	5336.000	5546.000	0.000	0.000	127500	127614	7506	128	568	1	0	
2	13	15	3	0	6000	2500	1000	2	555555	******	5	5	5	5	5	5	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	135000	135124	9506	136	76	1	0	
2	14	15	1	1	4000	2500	1000	2	111111	******	1	1	1	1	1	1	498.000	1512.000	2010.000	0	0	2	1	1	1	1	1	1	4498.000	4770.000	5024.000	5302.000	5580.000	5862.000	0.000	0.000	144500	144634	7506	145	583	1	0	
2	15	15	1	1	6000	2500	1000	2	111111	******	1	1	1	1	1	1	404.000	1624.000	2028.000	0	0	2	1	1	1	1	1	1	6404.000	6702.000	6972.000	7286.000	7576.000	7912.000	0.000	0.000	152000	152144	9506	153	89	1	0	
2	16	15	5	1	4000	2500	1000	2	351531	******	3	5	1	5	3	1	514.000	1292.000	1806.000	0	0	2	3	5	1	5	3	1	4514.000	4776.000	4996.000	5340.000	5518.000	5674.000	0.000	0.000	161500	161654	7506	162	598	1	0	
2	17	15	6	1	4000	2500	8000	2	513153	******	5	1	3	1	5	3	398.000	1094.000	1492.000	0	0	2	5	1	3	1	5	3	4398.000	4608.000	4812.000	5056.000	5180.000	5372.000	0.000	0.000	169000	169163	14506	170	105	1	0	
2	18	15	1	0	4000	2500	4000	2	111111	******	1	1	1	1	1	1	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	183500	183676	10506	184	611	1	0	
